WorkflowAssignmentChangeEvent	https://wiki.genexus.com/commwiki/wiki?10279
WorkflowAttribute	https://wiki.genexus.com/commwiki/wiki?10271
WorkflowBusinessEvent	https://wiki.genexus.com/commwiki/wiki?12189
WorkflowBusinessEventInstance	https://wiki.genexus.com/commwiki/wiki?12190
WorkflowCalendar	https://wiki.genexus.com/commwiki/wiki?11609
WorkflowContext	https://wiki.genexus.com/commwiki/wiki?12187
WorkflowDataChangeEvent	https://wiki.genexus.com/commwiki/wiki?10278
WorkflowDocumentDefinition	https://wiki.genexus.com/commwiki/wiki?10260
WorkflowDocumentInstance	https://wiki.genexus.com/commwiki/wiki?17282
WorkflowDocumentRepository	https://wiki.genexus.com/commwiki/wiki?10272
WorkflowError	https://wiki.genexus.com/commwiki/wiki?10283
WorkflowEvent	https://wiki.genexus.com/commwiki/wiki?10275
WorkflowEventRepository	https://wiki.genexus.com/commwiki/wiki?10274
WorkflowFilter	https://wiki.genexus.com/commwiki/wiki?10282
WorkflowGateway	https://wiki.genexus.com/commwiki/wiki?27131
WorkflowGatewayInstance	https://wiki.genexus.com/commwiki/wiki?27135
WorkflowNode	https://wiki.genexus.com/commwiki/wiki?27136
WorkflowNodeInstance	https://wiki.genexus.com/commwiki/wiki?27137
WorkflowObject	https://wiki.genexus.com/commwiki/wiki?10281
WorkflowOrganizationalModel	https://wiki.genexus.com/commwiki/wiki?10266
WorkflowOrganizationalUnit	https://wiki.genexus.com/commwiki/wiki?10270
WorkflowOrganizationalUnitDefinition	https://wiki.genexus.com/commwiki/wiki?10269
WorkflowPriorityChangeEvent	https://wiki.genexus.com/commwiki/wiki?10277
WorkflowProcessDefinition	https://wiki.genexus.com/commwiki/wiki?17239
WorkflowProcessInstance	https://wiki.genexus.com/commwiki/wiki?17771
WorkflowRestriction	https://wiki.genexus.com/commwiki/wiki?12191
WorkflowRestrictionDefinition	https://wiki.genexus.com/commwiki/wiki?12192
WorkflowRole	https://wiki.genexus.com/commwiki/wiki?17230
WorkflowStateChangeEvent	https://wiki.genexus.com/commwiki/wiki?10276
WorkflowTimer	https://wiki.genexus.com/commwiki/wiki?15124
WorkflowUser	https://wiki.genexus.com/commwiki/wiki?17273
WorkflowWorkitem	https://wiki.genexus.com/commwiki/wiki?11731
WSAddressing	https://wiki.genexus.com/commwiki/wiki?44549
WSSecurity	https://wiki.genexus.com/commwiki/wiki?44552
XMLReader	https://wiki.genexus.com/commwiki/wiki?6928
XMLWriter	https://wiki.genexus.com/commwiki/wiki?6938
